N,Count,AvgCost,Stdev,Min,Max,CV,LinearPred,SqrtPred,PowerPred,LogPred,AsymPred
4,1000,1.523478,0.583679,0.076994,3.255318,38.31,1.658717,1.640053,1.616833,1.617876,1.569779
5,1000,1.613596,0.566169,0.204691,3.339192,35.09,1.666379,1.653721,1.639153,1.640833,1.621964
6,1000,1.695594,0.552755,0.281808,3.605591,32.60,1.674041,1.666078,1.657618,1.659590,1.656754
7,1000,1.702401,0.554460,0.360276,3.688376,32.57,1.681702,1.677442,1.673392,1.675449,1.681604
8,1000,1.712883,0.514303,0.471009,3.429705,30.03,1.689364,1.688019,1.687177,1.689187,1.700242
9,1000,1.724985,0.511480,0.561712,3.368782,29.65,1.697025,1.697953,1.699431,1.701305,1.714737
10,1000,1.732437,0.499243,0.455291,4.183663,28.82,1.704687,1.707349,1.710467,1.712144,1.726334
11,1000,1.753243,0.471564,0.521820,3.516575,26.90,1.712349,1.716286,1.720513,1.721950,1.735822
12,1000,1.776994,0.477113,0.497072,3.378465,26.85,1.720010,1.724825,1.729736,1.730902,1.743729
13,1000,1.771760,0.445168,0.645391,3.739451,25.13,1.727672,1.733015,1.738263,1.739137,1.750420
14,1000,1.745442,0.427500,0.537033,3.086197,24.49,1.735333,1.740896,1.746196,1.746761,1.756154
15,1000,1.744576,0.440359,0.649100,3.366792,25.24,1.742995,1.748500,1.753614,1.753859,1.761124
16,1000,1.783587,0.438444,0.596212,3.467603,24.58,1.750657,1.755854,1.760581,1.760499,1.765473
17,1000,1.763340,0.402734,0.803596,3.283876,22.84,1.758318,1.762982,1.767151,1.766736,1.769310
18,1000,1.757199,0.398758,0.525030,3.144155,22.69,1.765980,1.769903,1.773368,1.772617,1.772721
19,1000,1.751687,0.383678,0.693385,3.084918,21.90,1.773641,1.776635,1.779269,1.778179,1.775773
20,1000,1.769996,0.391635,0.746033,3.246878,22.13,1.781303,1.783191,1.784885,1.783456,1.778519
21,1000,1.786025,0.384507,0.831976,3.106188,21.53,1.788965,1.789586,1.790243,1.788476,1.781004
22,1000,1.762517,0.367242,0.446743,2.851695,20.84,1.796626,1.795830,1.795367,1.793262,1.783263
23,1000,1.758312,0.350761,0.765691,2.972141,19.95,1.804288,1.801933,1.800278,1.797835,1.785326
